,Unnamed: 0,Crop,QueryType,QueryText,KCCAns,query
0,0,Potato,"	Plant Protection	",blight in potato,spray ridomil 2gm/litre water,blight in potato
1,1,Brinjal,"	Plant Protection	",weed problem,hand weeding,weed problem
2,2,Wheat,"	Plant Protection	",YELLOWING LEAF IN WHEAT,SPRAY UREA @ 3 GM + ZINCSULPHATE @ 1 ML / LIT OF WATER,yellowing leaf in wheat
3,3,Wheat,"	Plant Protection	",Farm machinery on govt. subsidy,Farm machinery on govt. subsidy - login to www.krishi.bih.nic.in,farm machinery on govt. subsidy
4,4,Tomato,"	Plant Protection	",Growth Delay,Spray boomflower @ 2 ml in 1 litre of water,growth delay
5,5,Potato,"	Plant Protection	",POATATO GROWTH,APPLY MULTIVITAMINS,poatato growth
6,6,Garlic,"	Plant Protection	",Fungal attack on Garlic,SPRAY COPPER OXY CHLORIDE 2 GRAM/LITRE OF WATER,fungal attack on garlic
7,7,Cauliflower,"	Plant Protection	",Insect infestation,Spray malathion @ 2 gram in 1 litre of water,insect infestation
8,8,Lentil (Masur),"	Plant Protection	",Insect infestation,Spray malathion @ 2 gram in 1 litre of water,insect infestation
9,9,Onion,"	Plant Protection	",ONION ROT,"â€¢	Spray copper oxychloride @ 2g/ litre",onion rot
